Region	Source	2MASS/SSTc2d	RA	Dec	EDR3_plx	EDR3_err_plx	EDR3_dist_pc	EDR3_RUWE	EDR3_Dist_PPVII	PM_EDR3_mas	Disk	Disk_Flag	Observatory	Freq_GHz	Wavelength	Beam_arcsec	RMS_mJy/beam	Survey_Ref	Flux_mJy	eFlux_mJy	Flux_mJy_Standardized	Mdust_Mearth_Standardized	Standardized_Mdust_Mearth	Size_as	eSize_as	H20_lR68	H20_R68_arcsec	H20_R68_au_DR3							Notes	Object	dist_xs	SpT_xs	Teff_xs	Av_xs	Lstar_xs	logLacc_xs	Mstar_B15_xs	logMacc_B15_xs	Mstar_S00_xs	logMacc_S00_xs	Notes_xs	ref_xs	Source_check	Teff_HH14	Lstar_xs_DR3	logLacc_xs_DR3	Mstar_B15_xs_DR3	logMacc_B15_xs_DR3	Mstar_S00_xs_DR3	logMacc_S00_xs_DR3	Mstar_Fei_xs_DR3	logMacc_Fei_xs_DR3	Mstar_PPVII	logMacc_PPVII	notes_Macc_PPVII	dist_PPVII
Lupus	Sz72	J15475062-3528353	15:47:50.608	-35:28:35.779	6.3811	0.0184	156.71	1.293	156.71	[-14.089, -23.195]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.23, 0.11]	[Ansdell+2016, Ansdell+2018]	[14.10, 5.54]	[0.28, 0.11]	[14.10, 5.54]	[3.62, 4.09]	4.09	[, ]	[, ]	<	0.07	10.9697								Sz72	155.89	M2	3560	0.75	0.27	-1.77	0.37	-8.6	0.38	-8.61	,	Alcala+14,17,19	Sz72	3560	0.272	-1.765	0.374	-8.601	0.3849	-8.613	0.39	-8.62	0.374	-8.601	--	156.71
Lupus	Sz73	J15475693-3514346	15:47:56.922	-35:14:35.185	6.3362	0.0274	157.82	1.221	157.82	[-13.712, -22.365]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.39, 0.11]	[Ansdell+2016, Ansdell+2018]	[30.43, 10.84]	[0.55, 0.18]	[30.43, 10.84]	[7.92, 8.11]	8.11	[, 0.37]	[, 0.02]	--	0.2	31.564								Sz73	156.78	K7	4060	3.5	0.46	-0.96	0.78	-8.12	0.79	-8.12	,	Alcala+14,17,19	Sz73	4020	0.466	-0.954	0.732	-8.07	0.7599	-8.086	0.7	-8.05	0.7	-8.05	--	157.82
Lupus	Sz74	J15480523-3515526	15:48:05.213	-35:15:53.342	7.0598	0.3909	141.65	12.075	158	[-11.326, -22.106]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.29, 0.13]	[Ansdell+2016, Ansdell+2018]	[20.94, 8.20]	[0.27, 0.30]	[20.94, 8.20]	[5.46, 6.15]	6.15	[, ]	[, ]	--	--	#VALUE!								Sz74	158.5	M3.5	3342	1.5	1.16	-1.45	nan	nan	0.3	-7.83	,	Alcala+14,17,19	Sz74	3300	1.152	-1.452	nan	nan	0.3	-7.813	nan	nan	0.3	-7.813	--	158.5
Lupus	Sz75	J15491210-3539051	15:49:12.086	-35:39:05.463	--	--	--	--	158	[, ]	II	1	[ALMA, ALMA]	[??, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.34, 0.09]	[Sanchis+2019, Ansdell+2018]	[78.00, 34.10]	[??, 0.20]	[78.00, 34.10]	[20.35, 25.58]	25.58	[, 0.37]	[, 0.01]	--	--	#VALUE!								Sz75	151.82	K6	4205	0.7	1.48	-0.69	0.8	-7.63	0.89	-7.68	GQLup,	Alcala+14,17,19	Sz75	4115	1.602	-0.655	0.715	-7.513	0.79	-7.556	0.61	-7.44	0.61	-7.44	--	154.1
Lupus	Sz76	J15493074-3549514	15:49:30.719	-35:49:51.825	6.3938	0.0230	156.40	1.252	156.40	[-12.828, -23.703]	II	1	[ALMA, ALMA]	[??, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.35, 0.08]	[Sanchis+2019, Ansdell+2018]	[12.00, 4.70]	[??, 0.30]	[12.00, 4.70]	[3.07, 3.46]	3.46	[, 0.77]	[, 0.06]	--	--	#VALUE!								Sz76	159.54	M4	3270	0.2	0.18	-2.55	0.23	-9.18	0.25	-9.23	td,	Alcala+14,17,19	Sz76	3190	0.172	-2.567	0.188	-9.109	0.215	-9.165	0.18	-9.1	0.188	-9.109	--	156.4
Lupus	Sz77	J15514695-3556440	15:51:46.941	-35:56:44.531	6.4411	0.0180	155.25	1.172	155.25	[-12.550, -24.183]	II	1	[ALMA, ALMA]	[??, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.20, 0.08]	[Sanchis+2019, Ansdell+2018]	[4.88, 1.90]	[??, 0.10]	[4.88, 1.90]	[1.23, 1.38]	1.38	[, ]	[, ]	--	--	#VALUE!								Sz77	154.82	K7	4060	0	0.59	-1.67	0.75	-8.76	0.76	-8.77	,	Alcala+14,17,19	Sz77	4020	0.593	-1.667	0.699	-8.711	0.745	-8.738	0.67	-8.69	0.67	-8.69	--	155.25
Lupus	Sz81A	J15555030-3801329	15:55:50.264	-38:01:34.087	6.3199	0.0236	158.23	1.314	158.23	[-11.426, -22.813]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.23, 0.12]	[Ansdell+2016, Ansdell+2018]	[9.46, 4.24]	[0.18, 0.11]	[9.46, 4.24]	[2.47, 3.19]	3.19	[, ]	[, ]	--	--	#VALUE!								Sz81A	159.86	M4.5	3200	0	0.25	-2.44	0.19	-8.92	0.23	-9	,	Alcala+14,17,19	Sz81A	3085	0.244	-2.448	0.188	-8.886	0.2	-8.911	0.18	-8.86	0.188	-8.886	--	158.23
Lupus	J15560210-3655282	J15560210-3655282	15:56:02.084	-36:55:28.666	6.3309	0.0230	157.96	1.472	157.96	[-11.851, -22.506]	II	1	[ALMA, ALMA]	[??, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.35, 0.08]	[Sanchis+2019, Ansdell+2018]	[57.52, 23.50]	[??, 0.20]	[57.52, 23.50]	[15.00, 17.62]	17.62	[, ]	[, ]	--	--	#VALUE!								J15560210-3655282	--	--	--	--	--	--	--	--	--	--		--	J15560210-3655282	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
Lupus	Sz82	J15560921-3756057	15:56:09.192	-37:56:06.452	6.4175	0.0220	155.82	1.186	155.82	[-12.059, -23.727]	II	1	[ALMA, ALMA]	[??, ??]	[0.875, 1.3]	[0.34x0.28, 0.25x0.24]	[0.21, 0.14]	[Cleeves+2016, Cleeves+2016]	[590, 200]	[90, 30]	[590.00, 200.00]	[143.36, 137.22]	137.22	[, 1.51]	[, 0.03]	--	--	#VALUE!							Sizes in Cleeves+16	Sz82	158.45	K5	4350	0.9	2.6	-1.05	0.95	-7.98	1.13	-8.05	td,	Alcala+14,17,19	Sz82	4210	2.514	-1.064	0.868	-7.929	0.9099	-7.949	0.72	-7.85	0.72	-7.85	--	155.82
Lupus	Sz83	J15564230-3749154	15:56:42.293	-37:49:15.861	6.3489	0.0402	157.51	2.671	158	[-11.457, -23.211]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.56, 0.16]	[Ansdell+2016, Ansdell+2018]	[426.90, 166.90]	[0.72, 0.34]	[426.90, 166.90]	[111.35, 125.22]	125.22	[, ]	[, ]	--	0.3	47.4								Sz83	159.57	K7	4060	0	1.49	-0.25	0.67	-7.08	0.74	-7.12	,	Alcala+14,17,19	Sz83	4020	1.46	-0.258	0.631	-7.062	0.71	-7.113	0.55	-7	0.55	-7	--	158.5
Lupus	Sz84	J15580252-3736026	15:58:02.501	-37:36:03.146	6.4276	0.0447	155.58	1.904	158	[-12.187, -23.029]	TD	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.32, 0.11]	[Ansdell+2016, Ansdell+2018]	[32.64, 12.63]	[0.40, 0.21]	[32.64, 12.63]	[8.51, 9.48]	9.48	[, 0.53]	[, 0.02]	--	0.24	37.92								Sz84	152.64	M5	3125	0	0.13	-2.68	0.17	-9.23	0.19	-9.27	td,	Alcala+14,17,19	Sz84	2980	0.139	-2.65	0.149	-9.077	0.1375	-9.042	0.13	-9.02	0.149	-9.077	--	158.5
Lupus	Sz129	J15591647-4157102	15:59:16.454	-41:57:10.675	6.2449	0.0171	160.13	1.140	160.13	[-10.663, -23.136]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.33, 0.12]	[Ansdell+2016, Ansdell+2018]	[181.12, 75.90]	[0.52, 0.30]	[181.12, 75.90]	[48.53, 58.49]	58.49	[, 0.45]	[, 0.01]	--	0.31	49.6403								Sz129	161.68	K7	4060	0.9	0.43	-1.13	0.78	-8.3	0.82	-8.33	,	Alcala+14,17,19	Sz129	4020	0.421	-1.138	0.74	-8.281	0.7649	-8.295	0.73	-8.27	0.73	-8.27	--	160.13
Lupus	J15592523-4235066	J15592523-4235066	15:59:25.205	-42:35:06.987	6.7910	0.0681	147.25	1.084	147.25	[-17.205, -26.567]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.24, 0.10]	[Ansdell+2016, Ansdell+2018]	[-0.03, 0.54]	[0.19, 0.09]	[<0.57, 0.54]	[<0.13, 0.35]	0.35	[, ]	[, ]	--	--	#VALUE!								J15592523-4235066	147.22	M5	3125	0	0.02	-4.42	0.14	-11.29	0.12	-11.23	,	Alcala+14,17,19	J15592523-4235066	2980	0.02	-4.419	0.085	-11.02	0.1	-11.09	0.09	-11.05	0.085	-11.02	--	147.25
Lupus	RYLup	J15592838-4021513	15:59:28.374	-40:21:51.559	6.5153	0.0604	153.48	3.123	158	[-10.963, -22.232]	TD	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.50, 0.15]	[Ansdell+2016, Ansdell+2018]	[275.50, 86.11]	[1.16, 0.68]	[275.50, 86.11]	[71.86, 64.60]	64.6	[, 0.89]	[, 0.02]	--	0.63	99.54								RYLup	159.1	K2	4900	0.4	1.87	-0.85	nan	nan	1.53	-8.16	td,	Alcala+14,17,19	RYLup	4710	1.844	-0.856	1.399	-8.092	1.5349	-8.132	1.27	-8.05	1.27	-8.05	--	158.5
Lupus	J16000060-4221567	J16000060-4221567	16:00:00.584	-42:21:57.203	6.2722	0.0317	159.43	1.151	159.43	[-11.348, -23.659]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.25, 0.11]	[Ansdell+2016, Ansdell+2018]	[2.40, 0.97]	[0.19, 0.09]	[2.40, 0.97]	[0.64, 0.74]	0.74	[, ]	[, ]	--	0.29	46.2347								J16000060-4221567	161.2	M4.5	3200	0	0.1	-3.04	0.2	-9.73	0.2	-9.72	,	Alcala+14,17,19	J16000060-4221567	3085	0.097	-3.049	0.149	-9.583	0.155	-9.6	0.13	-9.53	0.149	-9.583	--	159.43
Lupus	J16000236-4222145	J16000236-4222145	16:00:02.340	-42:22:14.962	6.2347	0.0439	160.39	1.733	160.39	[-11.517, -23.211]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.34, 0.13]	[Ansdell+2016, Ansdell+2018]	[119.85, 49.96]	[0.63, 0.38]	[119.85, 49.96]	[32.21, 38.63]	38.63	[, ]	[, ]	--	0.5	80.195								J16000236-4222145	164.17	M4	3270	1.4	0.18	-2.92	0.23	-9.56	0.25	-9.6	,	Alcala+14,17,19	J16000236-4222145	3190	0.171	-2.94	0.189	-9.484	0.2175	-9.545	0.19	-9.48	0.189	-9.484	--	160.39
Lupus	J16002612-4153553	J16002612-4153553	16:00:26.099	-41:53:55.782	6.1285	0.0483	163.17	1.103	163.17	[-10.190, -23.201]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.25, 0.10]	[Ansdell+2016, Ansdell+2018]	[1.20, 0.42]	[0.19, 0.09]	[1.20, 0.42]	[0.33, 0.34]	0.34	[, ]	[, ]	--	--	#VALUE!								J16002612-4153553	164.33	M5.5	3060	0.9	0.08	-3.22	0.14	-9.76	0.14	-9.76	,	Alcala+14,17,19	J16002612-4153553	2920	0.078	-3.226	0.108	-9.621	0.1	-9.585	0.09	-9.54	0.108	-9.621	--	163.17
Lupus	Sz130	J16003103-4143369	16:00:31.022	-41:43:37.387	6.2822	0.0201	159.18	1.272	159.18	[-10.845, -23.338]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.24, 0.10]	[Ansdell+2016, Ansdell+2018]	[6.19, 1.97]	[0.35, 0.18]	[6.19, 1.97]	[1.64, 1.50]	1.5	[, ]	[, ]	<	0.17	27.0606								Sz130	160.27	M2	3560	0	0.18	-2.14	0.39	-9.09	0.37	-9.06	,	Alcala+14,17,19	Sz130	3560	0.177	-2.145	0.394	-9.097	0.3675	-9.066	0.41	-9.12	0.394	-9.097	--	159.18
Lupus	MYLup	J16004452-4155310	16:00:44.500	-41:55:31.319	6.3630	0.0355	157.16	1.903	158	[-11.651, -23.169]	TD	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.56, 0.13]	[Ansdell+2016, Ansdell+2018]	[176.81, 67.11]	[0.76, 0.28]	[176.81, 67.11]	[46.12, 50.35]	50.35	[, 0.73]	[, 0.02]	--	0.39	61.62								MYLup	157	K0	5100	1.3	0.85	-0.65	1.09	-8.01	1.06	-7.99	td,	Alcala+14,17,19	MYLup	4870	0.86	-0.644	1.167	-7.996	1.1475	-7.989	1.19	-8	1.19	-8	--	158.5
Lupus	Sz131	J16004943-4130038	16:00:49.414	-41:30:04.263	6.2257	0.0274	160.62	1.103	160.62	[-11.074, -23.808]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.23, 0.10]	[Ansdell+2016, Ansdell+2018]	[8.57, 3.37]	[0.29, 0.14]	[8.57, 3.37]	[2.31, 2.61]	2.61	[, ]	[, ]	<	0.12	19.2744								Sz131	160.31	M3	3415	1.3	0.15	-2.34	0.3	-9.18	0.3	-9.18	,	Alcala+14,17,19	Sz131	3410	0.15	-2.338	0.301	-9.171	0.3025	-9.173	0.31	-9.19	0.301	-9.171	--	160.62
Lupus	J16011549-4152351	J16011549-4152351	16:01:15.531	-41:52:35.515	--	--	--	--	158	[, ]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.57, 0.10]	[Ansdell+2016, Ansdell+2018]	[82.07, 21.76]	[0.89, 0.28]	[82.07, 21.76]	[21.41, 16.33]	16.33	[, ]	[, ]	--	0.61	96.38								J16011549-4152351	--	--	--	--	--	--	--	--	--	--		--	J16011549-4152351	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
Lupus	EXLup	J16030548-4018254	16:03:05.476	-40:18:25.834	6.4634	0.0150	154.72	1.115	154.72	[-10.157, -22.531]	II	1	[ALMA, ALMA]	[??, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.35, 0.09]	[Sanchis+2019, Ansdell+2018]	[41.78, 19.50]	[??, 0.30]	[41.78, 19.50]	[10.45, 14.03]	14.03	[, 0.31]	[, 0.01]	--	--	#VALUE!								EXLup	157.7	M0	3850	1.1	0.76	-0.91	0.53	-7.74	0.57	-7.77	,	Alcala+14,17,19	EXLup	3900	0.731	-0.926	0.57	-7.81	0.615	-7.842	0.53	-7.78	0.57	-7.81	--	154.72
Lupus	Sz133	J16032939-4140018	16:03:29.375	-41:40:02.247	8.6195	0.6234	116.02	4.287	158	[-7.471, -25.991]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.55, 0.10]	[Ansdell+2016, Ansdell+2018]	[69.05, 27.02]	[0.77, 0.24]	[69.05, 27.02]	[18.01, 20.27]	20.27	[, 0.95]	[, 0.04]	--	0.46	72.68								Sz133	153.08	K5	4350	1.8	0.07	-1.78	nan	nan	nan	nan	sl,c	Alcala+14,17,19	Sz133	4210	0.074	-1.752	nan	nan	nan	nan	nan	nan	nan	nan	SL	158.5
Lupus	Sz88A	J16070061-3902194	16:07:00.582	-39:02:19.913	6.3435	0.0262	157.64	1.204	157.64	[-11.303, -23.084]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.27, 0.12]	[Ansdell+2016, Ansdell+2018]	[8.94, 3.72]	[0.30, 0.11]	[8.94, 3.72]	[2.32, 2.78]	2.78	[, ]	[, ]	--	--	#VALUE!								Sz88A	158.43	M0	3850	0.25	0.31	-1.4	0.61	-8.49	0.58	-8.47	,	Alcala+14,17,19	Sz88A	3900	0.306	-1.404	0.653	-8.535	0.6349	-8.523	0.66	-8.54	0.653	-8.535	--	157.64
Lupus	Sz88B	J16070061-3902194	16:07:00.620	-39:02:18.100	6.3145	0.0948	158.37	1.291	158.37	[-10.137, -22.823]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.26, 0.10]	[Ansdell+2016, Ansdell+2018]	[-0.20, 0.12]	[0.19, 0.10]	[<0.57, <0.30]	[<0.15, <0.23]	<0.23	[, ]	[, ]	--	--	#VALUE!								Sz88B	159.03	M4.5	3197	0	0.07	-3.3	0.2	-10.05	0.19	-10.02	,	Alcala+14,17,19	Sz88B	3085	0.069	-3.303	0.146	-9.904	0.15	-9.914	0.13	-9.84	0.146	-9.904	--	158.37
Lupus	J16070384-3911113	J16070384-3911113	16:07:03.829	-39:11:11.900	--	--	--	--	158	[, ]	TD	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.25, 0.11]	[Ansdell+2016, Ansdell+2018]	[4.52, 0.98]	[0.55, 0.29]	[4.52, 0.98]	[1.18, 0.74]	0.74	[, ]	[, ]	--	0.79	124.82							Edge-on disk with Hubble image	J16070384-3911113	158.5	M4.5	3200	0.6	0	-5.4	nan	nan	0.16	-12.76	sl,	Alcala+14,17,19	J16070384-3911113	3085	0	-5.402	nan	nan	nan	nan	nan	nan	nan	nan	SL	158.5
Lupus	J16070854-3914075	J16070854-3914075	16:07:08.535	-39:14:07.939	5.8383	0.3401	171.28	1.085	171.28	[-11.254, -25.263]	TD	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.49, 0.12]	[Ansdell+2016, Ansdell+2018]	[92.07, 34.77]	[1.49, 0.54]	[92.07, 34.77]	[28.22, 30.66]	30.66	[, ]	[, ]	--	0.63	107.9064								J16070854-3914075	--	--	--	--	--	--	--	--	--	--		--	J16070854-3914075	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
Lupus	Sz90	J16071007-3911033	16:07:10.054	-39:11:03.647	6.2357	0.0204	160.37	1.356	160.37	[-9.353, -25.295]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.37, 0.10]	[Ansdell+2016, Ansdell+2018]	[21.83, 8.74]	[0.46, 0.16]	[21.83, 8.74]	[5.87, 6.76]	6.76	[, ]	[, ]	--	0.1	16.037								Sz90	160.4	K7	4060	1.8	0.42	-1.79	0.78	-8.96	0.8	-8.97	,	Alcala+14,17,19	Sz90	4020	0.419	-1.79	0.734	-8.93	0.7599	-8.945	0.73	-8.93	0.73	-8.93	--	160.37
