,index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment,ra,dec,ppvii_f,esplin_f,dunhmart_f,ppvii_i,esplin_i,dunhmart_i,class_duh,alpha0,Region,Source,2MASS/SSTc2d,RA,Dec,EDR3_plx,EDR3_err_plx,EDR3_dist_pc,EDR3_RUWE,EDR3_Dist_PPVII,PM_EDR3_mas,Disk,Disk_Flag,Observatory,Freq_GHz,Wavelength,Beam_arcsec,RMS_mJy/beam,Survey_Ref,Flux_mJy,eFlux_mJy,Flux_mJy_Standardized,Mdust_Mearth_Standardized,Standardized_Mdust_Mearth,Size_as,eSize_as,H20_lR68,H20_R68_arcsec,H20_R68_au_DR3,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Notes,Object,dist_xs,SpT_xs,Teff_xs,Av_xs,Lstar_xs,logLacc_xs,Mstar_B15_xs,logMacc_B15_xs,Mstar_S00_xs,logMacc_S00_xs,Notes_xs,ref_xs,Source_check,Teff_HH14,Lstar_xs_DR3,logLacc_xs_DR3,Mstar_B15_xs_DR3,logMacc_B15_xs_DR3,Mstar_S00_xs_DR3,logMacc_S00_xs_DR3,Mstar_Fei_xs_DR3,logMacc_Fei_xs_DR3,Mstar_PPVII,logMacc_PPVII,notes_Macc_PPVII,dist_PPVII,2MASS,WISE,Gaia,GP75RCrA,TS84,HBC,WMB97,CrAPMS,P98c,ISOCrA,RX,LEM2005b,FP2007,SHJ2008,GMM2009,PCB2011,OName,RAdeg,DEdeg,Ref-Pos,SpType,r_SpType,Adopt,GaiapmRA,e_GaiapmRA,GaiapmDec,e_GaiapmDec,plx,e_plx,RUWE,kin,r-med-geo,r-lo-geo,r-hi-geo,IRpmRA,e_IRpmRA,IRpmDec,e_IRpmDec,RVel,e_RVel,r_RVel,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Jmag,e_Jmag,r_Jmag,Hmag,e_Hmag,r_Hmag,Kmag,e_Kmag,r_Kmag,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,Ak,f_Ak,radunhmart,decdunhmart,Name,alpha0dunhmart,alpha,dunham_alpha,source,source_id
64,64,True,no,no,no,no,no,no,1.0,,,,"in the middle of an artifact, diffucult to tell if there is nebulosity",284.735,-37.12694444444445,False,False,True,,,135348.0,III,-2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.735,-37.12694444444445,J185856.4-370737,-2.47,-2.21,True,dunham15,1708.0
65,65,True,no,no,prominent,prominent,prominent,prominent,2.0,y,diffuse,Ha.r.i,"we do not have images in g and u, it is probably an emission line galaxy ESO 396-11",285.0975,-37.20666666666667,False,False,True,,,135349.0,II,-1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0975,-37.20666666666667,J190023.4-371224,-1.32,-0.95,True,dunham15,1709.0
66,66,True,no,no,no,no,no,no,1.0,,,,"can’t see the star, region of nebulosity",285.4599999999999,-36.943888888888885,False,False,True,,,135350.0,II,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.4599999999999,-36.943888888888885,J190150.4-365638,-1.0,-0.39,True,dunham15,1712.0
67,67,True,faint,visible,prominent,prominent,prominent,prominent,4.0,y,"diffuse, arc",Ha.r.i,hard to tell if is actually due to that star,285.4937499999999,-36.95222222222223,False,False,True,,,135351.0,I,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.4937499999999,-36.95222222222223,J190158.5-365708,0.71,0.88,True,dunham15,1713.0
68,68,True,no,no,no,no,no,no,1.0,,,,can’t see the star,285.7441666666667,-37.12638888888889,False,False,True,,,135352.0,I,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.7441666666667,-37.12638888888889,J190258.6-370735,1.49,1.66,True,dunham15,1714.0
69,69,True,prominent,prominent,prominent,prominent,prominent,prominent,5.0,y,"irregular, diffuse",all,,285.4733333333333,-36.95222222222223,False,False,True,,,135353.0,III,-3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.4733333333333,-36.95222222222223,J190153.6-365708,-3.04,-2.55,True,dunham15,1716.0
70,70,True,no,no,no,no,no,no,2.0,,,,maybe nebulosity in Ha?,285.7783333333333,-37.21361111111111,False,False,True,,,135354.0,flat spectrum,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.7783333333333,-37.21361111111111,J190306.8-371249,-0.22,0.36,True,dunham15,1719.0
71,71,True,prominent,prominent,prominent,prominent,prominent,prominent,5.0,y,diffuse,all,,285.42,-36.87583333333333,True,False,True,881.0,,135355.0,III,-1.68,CrA,TY CrA,J19014081-3652337,19:01:40.810,-36:52:33.800,6.2851,0.1724,159.11,8.161,156.0,"[4.308, -31.801]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.13]","[, Cazzoletti+2019]","[, 0.91]","[, 0.18]","[, 0.91]","[, 0.63]",0.63,,,,--,#VALUE!,,,,,,,,J19014081-3652337,160.89,--,10500,,295.1209227,--,4.1,--,--,--,--,,TY CrA,10500.0,277.4,-99.02,,,3.9749,-106.3,3.99,-106.33,3.99,-106.33,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.42,-36.87583333333333,J190140.8-365233,-1.68,-0.76,True,dunham15,1720.0
72,72,True,no,no,no,no,no,no,2.0,,,,region of nebulosity but can’t see the star,285.46083333333326,-36.969166666666666,False,False,True,,,135356.0,I,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.46083333333326,-36.969166666666666,J190150.6-365809,0.96,0.92,True,dunham15,1721.0
73,73,True,prominent,prominent,prominent,prominent,prominent,prominent,4.0,y,"diffuse, irreguar",all,hard to assign a star,285.48041666666666,-36.95583333333334,False,False,True,,,135357.0,I,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.48041666666666,-36.95583333333334,J190155.3-365721,2.47,2.64,True,dunham15,1723.0
74,74,True,prominent,prominent,prominent,prominent,prominent,prominent,5.0,y,"diffuse, irregular",,hard to assign a star,285.485,-36.95777777777778,False,True,True,,347.0,135358.0,I,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WISE J190156.42-365728.6,0.0,0,0,0.0,0,0,0,0.0,0,0.0,190156.39-365728.4,0.0,8.0,0.0,[NWA2005] SMM 1B,285.485015,-36.957668,IRAC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10.073,0.02,0,7.379,0.02,0,5.68,0.02,0,4.806,0.02,0,0.0,0.0,sat,0.0,0.0,false/diff,6.456,0.019,bl,4.11,0.02,bl,-0.737,0.016,0,Y,Y,Y,Y,Y,Y,flat/I,0.0,0,285.485,-36.95777777777778,J190156.4-365728,2.56,2.78,True,dunham15,1724.0
75,75,True,no,no,no,no,no,no,1.0,,,,,284.9330071300655,-37.06696622974804,True,False,False,844.0,,,,,CrA,CrA-3,J18594391-3704000,18:59:43.920,-37:04:01.100,--,--,--,--,156.0,"[, ]",F,1.0,"[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]",--,,,,--,#VALUE!,,,,,,,,18594391-3704000,--,--,--,,--,--,--,--,--,--,,,CrA-3,-99.0,-99.0,-99.0,-99.0,--,-99.0,--,-99.0,-99.0,-99.0,-99.0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,True,no,faint,faint,visible ,visible,visible,3.0,y,diffuse,"Ha, I",is it nebulosity or light from the star?,285.1211321115768,-36.93438289310463,True,True,False,846.0,289.0,,,,CrA,CrA-6,J19002906-3656036,19:00:29.070,-36:56:03.800,6.3111,0.1401,158.45,5.876,156.0,"[3.845, -28.564]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.08]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.24]","[, <0.17]",<0.17,,,,--,#VALUE!,,,,,,,,J19002906-3656036,155.17,--,3190,,0.301995172,--,0.21,--,--,--,--,,CrA-6,3071.0,0.305,-98.99,,,0.1975,-105.4,,,0.1975,-105.4,--,,19002906-3656036,WISEA J190029.06-365603.8,6.730838756473386e+18,g2,0,0.0,0,8,R09,88.0,0,0.0,0,0.0,0.0,6.0,0,285.121131,-36.934458,Gaia,"M4,M3,M3.5,M3-M5","10,6,1,7",M3.5,3.845,0.128,-28.564,0.105,6.311,0.14,5.88,Y,157.565,153.475,161.364,0.0,0.0,0.0,0.0,-0.44,0.02,2.0,-3.619,0.091,-18.965,0.442,-9.803,0.278,14.245,0.002,15.984,0.008,12.909,0.004,10.77,0.02,2MASS,9.96,0.03,2MASS,9.57,0.02,2MASS,9.395,0.02,0,9.223,0.02,0,9.148,0.02,0,8.991,0.02,0,5.735,0.02,0,9.404,0.023,0,9.209,0.02,0,8.76,0.032,0,6.039,0.057,0,N,N,Y,N,Y?,Y,debris/ev trans,0.15,J-H,,,,,,,,
77,77,True,no,no,no,no,no,no,1.0,,,,,285.31788209627604,-36.94118844526752,True,True,False,850.0,306.0,,,,CrA,CrA-12,J19011629-3656282,19:01:16.290,-36:56:28.300,6.5181,0.0731,153.42,1.033,153.42,"[3.926, -27.254]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.10]","[, Cazzoletti+2019]","[, 1.37]","[, 0.24]","[, 1.37]","[, 0.91]",0.91,,,,--,#VALUE!,,,,,,,,J19011629-3656282,156.05,--,2980,,0.03090295433,--,0.09,--,--,--,--,,CrA-12,2851.0,0.029,-99.01,0.058,-105.3,,,,,0.058,-105.3,--,,19011629-3656282,WISEA J190116.29-365628.6,6.731210326984584e+18,0,0,0.0,0,0,0,123.0,0,4110.0,190116.26-365628.4,0.0,14.0,12.0,V667 CrA,285.317884,-36.941306,Gaia,"M5,M5","1,13",M5,3.926,0.078,-27.254,0.067,6.518,0.073,1.03,Y,152.041,150.406,153.503,0.0,0.0,0.0,0.0,0.8,0.07,2.0,-2.245,0.079,-17.476,0.204,-9.552,0.134,16.579,0.004,18.677,0.057,15.191,0.012,13.06,0.01,VHS,12.31,0.02,2MASS,11.9,0.02,2MASS,11.246,0.02,0,10.839,0.02,0,10.59,0.02,0,10.167,0.02,0,7.427,0.05,0,11.453,0.023,0,10.931,0.021,0,9.877,0.059,0,8.134,0.337,0,Y,Y,Y,Y,Y,Y,full,0.12,IR spec,,,,,,,,
78,78,True,no,no,no,no,no,no,1.0,,,,star only visible in Ha,285.46609042421125,-37.17907733164749,True,True,False,856.0,340.0,,,,CrA,CrA-22,J19015180-3710478,19:01:51.860,-37:10:44.700,6.4312,0.5257,155.49,1.064,155.49,"[4.370, -26.198]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.12]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.36]","[, <0.25]",<0.25,,,,--,#VALUE!,,,,,,,,J19015180-3710478,143.45,--,3085,,0.05248074602,--,0.14,--,--,--,--,,CrA-22,2943.0,0.061,-98.92,0.097,-105.3,0.1,-105.3,0.09,-105.3,0.097,-105.3,--,,0,WISEA J190151.83-371047.5N,6.718807664024748e+18,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,22.0,0,285.466158,-37.17919,Gaia,M5.25,1,M5.25,4.37,0.585,-26.198,0.483,6.431,0.526,1.06,0,156.359,143.327,169.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88,0.011,21.128,0.286,18.262,0.058,14.65,0.01,VHS,0.0,0.0,0,12.88,0.01,VHS,12.356,0.02,0,12.036,0.02,0,11.66,0.02,0,11.543,0.03,0,8.917,0.06,0,0.0,0.0,nodet/unres,0.0,0.0,nodet/unres,0.0,0.0,nodet/unres,8.056,0.248,bin,Y,Y,Y,0,0,Y,evolved,0.58,IR spec,,,,,,,,
79,79,True,no,visible,visible,visible,visible,visible,3.0,y,"filament, diffuse","g,r,i,Ha",large scale,285.47396541911127,-37.00941066484864,True,True,False,857.0,344.0,,,,CrA,CrA-23,J19015374-3700339,19:01:53.750,-37:00:33.900,6.2791,0.2256,159.26,1.144,159.26,"[5.631, -27.994]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.12]","[, Cazzoletti+2019]","[, 0.35]","[, 0.15]","[, 0.35]","[, 0.25]",0.25,,,,--,#VALUE!,,,,,,,,J19015374-3700339,160.89,--,2770,,0.007244359601,--,0.04,--,--,--,--,,CrA-23,2705.0,0.007,-99.0,0.029,-105.3,,,,,0.029,-105.3,--,,19015374-3700339,WISEA J190153.76-370034.1,6.731194689005003e+18,0,0,0.0,185831.1-370456,0,0,0.0,0,465.0,0,0.0,24.0,23.0,0,285.474004,-37.009579,Gaia,"M7.5,M7.5","1,13",M7.5,5.631,0.259,-27.994,0.224,6.279,0.226,1.14,Y,158.039,153.321,163.689,0.0,0.0,0.0,0.0,0.61,0.1,2.0,-2.992,0.179,-18.219,0.687,-11.146,0.467,18.353,0.003,20.747,0.178,16.819,0.009,14.07,0.01,VHS,13.4,0.03,2MASS,13.02,0.03,2MASS,12.374,0.02,0,11.938,0.02,0,11.636,0.02,0,10.957,0.02,0,8.533,0.221,0,12.28,0.025,0,11.583,0.024,0,0.0,0.0,false/ext,0.0,0.0,false/ext,Y,Y,Y,Y,0,0,full,0.0,IR spec,,,,,,,,
80,80,True,no,no,no,no,no,no,1.0,,,,star not visible,285.46034041846474,-36.94399399841075,True,False,False,868.0,,,,,CrA,CrA-42,J19015037-3656390,19:01:50.480,-36:56:38.400,--,--,--,--,156.0,"[, ]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.34]","[, Cazzoletti+2019]","[, 4.87]","[, 0.21]","[, 4.87]","[, 3.35]",3.35,,,,--,#VALUE!,,,,,,,,19015037-3656390,--,--,--,,--,--,--,--,--,--,,,CrA-42,-99.0,-99.0,-99.0,-99.0,--,-99.0,--,-99.0,-99.0,-99.0,-99.0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,True,no,faint,faint,faint,faint,faint,3.0,y,diffuse,,nebulosity or starlight?,283.9846738695578,-37.00196624741686,True,False,False,870.0,,,,,CrA,CrA-46,J18555629-3700066,18:55:56.320,-37:00:07.100,--,--,--,--,156.0,"[, ]",F,1.0,"[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]",--,,,,--,#VALUE!,,,,,,,,18555629-3700066,--,--,--,,--,--,--,--,--,--,,,CrA-46,-99.0,-99.0,-99.0,-99.0,--,-99.0,--,-99.0,-99.0,-99.0,-99.0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,True,no,no,no,no,no,no,1.0,,,,,284.1678405194389,-36.922438466098725,True,True,False,871.0,258.0,,,,CrA,CrA-47,J18564024-3655203,18:56:40.280,-36:55:20.800,6.8098,0.0976,146.85,1.061,146.85,"[3.761, -28.070]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.09]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.27]","[, <0.16]",<0.16,,,,--,#VALUE!,,,,,,,,J18564024-3655203,160.89,--,2860,,0.01071519305,--,0.05,--,--,--,--,,CrA-47,2758.0,0.008,-99.07,0.036,-105.4,,,,,0.036,-105.4,--,,18564024-3655203,WISEA J185640.23-365520.6,6.731055944382779e+18,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,47.0,0,284.167692,-36.922468,Gaia,M6,5,M6,3.761,0.104,-28.07,0.094,6.81,0.098,1.06,Y,145.953,143.506,147.969,0.0,0.0,0.0,0.0,-0.32,0.07,2.0,-3.23,0.082,-17.18,0.261,-9.121,0.155,17.365,0.002,19.667,0.054,15.972,0.004,13.67,0.01,VHS,13.08,0.03,2MASS,12.82,0.03,2MASS,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,8.015,0.023,0,12.48,0.025,0,12.04,0.023,0,10.309,0.088,0,8.079,0.26,bl,0,0,Y,Y,Y,Y,full,0.0,J-H,,,,,,,,
83,83,True,no,no,no,no,no,no,1.0,,,,,284.28275717646466,-36.90121624168651,True,True,False,872.0,264.0,,,,CrA,CrA-48,J18570785-3654041,18:57:07.860,-36:54:04.400,6.5778,0.1495,152.03,1.157,152.03,"[3.670, -27.737]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.12]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.36]","[, <0.24]",<0.24,,,,--,#VALUE!,,,,,,,,J18570785-3654041,152.86,--,2980,,0.007762471166,--,0.08,--,--,--,--,,CrA-48,2851.0,0.007,-99.0,0.05,-105.5,,,,,0.05,-105.5,--,,18570785-3654041,WISEA J185707.88-365404.4,6.731061304500058e+18,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,48.0,0,284.282786,-36.901241,Gaia,M5,5,M5,3.67,0.16,-27.737,0.146,6.578,0.149,1.16,Y,150.576,147.375,154.126,0.0,0.0,0.0,0.0,-0.96,0.14,2.0,-3.892,0.153,-17.595,0.427,-9.097,0.241,18.023,0.011,18.522,0.117,16.321,0.023,14.16,0.01,VHS,13.48,0.04,2MASS,13.0,0.03,2MASS,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,8.636,0.036,0,12.169,0.023,0,11.579,0.021,0,10.157,0.067,0,8.45,0.291,0,0,0,Y,Y,Y,Y,full,0.02,J-H,,,,,,,,
84,84,True,prominent,prominent,prominent,prominent,prominent,prominent,5.0,y,"diffuse, irregular",all,probably group of star,285.41313208746266,-36.891493999206055,True,True,False,875.0,323.0,,,,CrA,CrA-54,J19013912-3653292,19:01:39.150,-36:53:29.400,6.3991,0.0415,156.27,1.178,156.27,"[3.700, -28.558]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.09]","[, Cazzoletti+2019]","[, 0.48]","[, 0.19]","[, 0.48]","[, 0.33]",0.33,,,,--,#VALUE!,,,,,,,,J19013912-3653292,160.89,--,4020,,5.888436554,--,0.76,--,--,--,--,,CrA-54,3997.0,5.555,-99.02,,,0.725,-105.5,,,0.725,-105.5,--,,19013912-3653292,0,6.731200598883146e+18,0,0,0.0,185816.8-365747,0,0,0.0,0,0.0,0,0.0,0.0,54.0,0,285.413195,-36.891669,Gaia,K7:,16,K7,3.7,0.036,-28.558,0.034,6.399,0.042,1.18,Y,156.279,155.435,157.584,0.0,0.0,0.0,0.0,-0.71,0.03,2.0,-3.779,0.037,-18.771,0.128,-9.432,0.072,12.158,0.004,12.018,0.046,11.001,0.019,0.0,0.0,0,7.49,0.09,2MASS,7.14,0.08,2MASS,8.881,0.02,0,8.733,0.02,0,8.181,0.1,0,0.0,0.0,ext,0.0,0.0,ext,0.0,0.0,nodet/unres,0.0,0.0,nodet/unres,0.0,0.0,nodet/unres,0.0,0.0,nodet/ext,N,0,0,0,0,0,III,0.0,J-H,,,,,,,,
85,85,True,no,no,no,no,no,no,1.0,,,,,285.56942373852894,-36.76371621881088,True,True,False,877.0,360.0,,,,CrA,CrA-56,J19021667-3645493,19:02:16.660,-36:45:49.400,6.4550,0.0473,154.92,1.028,154.92,"[4.569, -29.488]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.10]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.30]","[, <0.20]",<0.20,,,,--,#VALUE!,,,,,,,,J19021667-3645493,155.44,--,3190,,0.0977237221,--,0.2,--,--,--,--,,CrA-56,3071.0,0.097,-99.0,0.146,-105.5,0.15,-105.5,0.13,-105.46,0.146,-105.5,--,,19021667-3645493,WISEA J190216.68-364549.6,6.731207475127575e+18,0,0,0.0,0,0,0,146.0,0,4109.0,0,0.0,0.0,56.0,0,285.569525,-36.763843,Gaia,M5,1,M5,4.569,0.048,-29.488,0.04,6.455,0.047,1.03,Y,153.375,152.335,154.735,0.0,0.0,0.0,0.0,-2.25,0.03,2.0,-5.426,0.04,-19.041,0.142,-9.658,0.086,15.433,0.001,17.518,0.014,14.077,0.006,12.05,0.01,VHS,11.3,0.02,2MASS,11.02,0.02,2MASS,10.809,0.02,0,10.567,0.02,0,10.522,0.02,0,0.0,0.0,out,7.057,0.02,0,10.827,0.021,0,10.567,0.021,0,10.135,0.07,0,7.288,0.139,0,N,0,Y,N,N,Y,debris/ev trans,0.11,IR spec,,,,,,,,
86,86,True,no,no,faint,faint,visible,visible,4.0,y,tail,"I, Ha","is it really a Rne or is an artifact? There is a point source SE which is not in SIMBAD, NED and GAIA",285.8561737199495,-36.91813288079156,True,True,False,878.0,382.0,,,,CrA,CrA-57,J19032547-3655051,19:03:25.480,-36:55:05.300,6.3455,0.0671,157.59,1.041,157.59,"[5.344, -26.908]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.10]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.30]","[, <0.21]",<0.21,,,,--,#VALUE!,,,,,,,,J19032547-3655051,153.95,--,3085,,0.04897788194,--,0.14,--,--,--,--,,CrA-57,2943.0,0.051,-98.97,0.091,-105.4,0.1,-105.4,0.09,-105.39,0.091,-105.4,--,,19032547-3655051,WISEA J190325.48-365505.4,6.719193145926882e+18,0,0,0.0,0,0,0,217.0,0,0.0,0,0.0,0.0,57.0,0,285.856193,-36.918229,Gaia,"M4.25,M4,M4.5","1,1,5",M4,5.344,0.06,-26.908,0.044,6.346,0.067,1.04,Y,155.963,154.512,157.762,0.0,0.0,0.0,0.0,-1.2,0.05,2.0,-4.492,0.058,-17.391,0.192,-9.941,0.102,15.789,0.001,17.814,0.012,14.457,0.003,12.5,0.01,VHS,11.55,0.02,2MASS,11.22,0.02,2MASS,10.95,0.02,0,10.814,0.02,0,10.71,0.02,0,0.0,0.0,out,7.782,0.02,0,11.024,0.023,0,10.833,0.022,0,10.544,0.078,0,8.181,0.262,0,N,0,Y,N,N,Y,debris/ev trans,0.16,IR spec,,,,,,,,
87,87,True,no,faint,visible,visible,visible,visible,3.0,y,arc,"r,i,Ha","star not visible, is it a Rne?",285.51704874749635,-36.95032733079413,True,False,False,882.0,,,,,CrA,IRS 10,J19020410-3657013,19:02:04.090,-36:57:01.200,--,--,--,--,156.0,"[, ]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.08]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.24]","[, <0.17]",<0.17,,,,--,#VALUE!,,,,,,,,19020410-3657013,--,--,--,,--,--,--,--,--,--,,,IRS 10,-99.0,-99.0,-99.0,-99.0,--,-99.0,--,-99.0,-99.0,-99.0,-99.0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,True,visible,prominent,prominent,prominent,prominent,prominent,3.0,y,"diffuse, irregular","g,i,r,Ha","star not visible, is it a Rne?",285.41946542143853,-36.93468844354356,True,False,False,885.0,,,,,CrA,Haas 4,--,19:01:40.670,-36:56:04.900,--,--,--,--,156.0,"[, ]",F,1.0,"[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]","[, ]",--,,,,--,#VALUE!,,,,,,,,--,--,--,--,,--,--,--,--,--,--,,,Haas 4,-99.0,-99.0,-99.0,-99.0,--,-99.0,--,-99.0,-99.0,-99.0,-99.0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
